ID,Date,Title,rhetorical strategy,emotional tone,subject framing,if is policy-related,Platform,genre,image,image description,summary,threat frame
1,20250709,Can prolonged use of the same toothpaste lead to antibiotic resistance?  ,questioning,neutral,medicine,no,CCTV.com,advice,yes,a toothpaste,"Dr. Wu Huaying, Director of the Dental Department at Nanjing Maternal and Child Health Hospital, stated in an interview that whether to frequently change toothpaste brands is ultimately a matter of personal preference. Drug resistance pertains to medications or antibiotics, whereas toothpaste does not develop resistance.??",risk
2,20250618,How did this institution maintain its position as the top institution in the Asia-Pacific region for ten consecutive years?  ,questioning,positive,profession,no,CCTV.com,discovery,yes,a screenshot,"In collaboration with the Global Ocean Microbial Consortium (GOMC), Huazhong University of Science and Technology, Shanghai Jiao Tong University, and other partners, researchers have jointly mapped the world's first deep-sea life system at depths exceeding 10,000 meters. This effort has identified numerous novel microbial species and leveraged an integrated “industry-academia-research-application” model to transform deep-sea “genetic treasures” into solutions for global challenges such as plastic pollution and antibiotic resistance.",NA
3,20250613,Always taking the same medication every time you catch a cold? How harmful are these poor medication habits?,questioning,neutral,group of people,no,CCTV.com,advice,yes,an AI generated pill bottle,"If you have a particular preference for the same type of cold medicine, beware—health risks like liver damage and drug resistance may be quietly building up! Each time you catch a cold, the “script” may feature different protagonists. Pathogens causing colds include both viruses and bacteria, and symptoms can vary in severity.",risk
4,20250613,Haiyu Tan: The indispensable county of Naqu,narrative,positive,a figure,no,CCTV.com,discovery,yes,a doctor with her patient,"Previously, for convenience, medications might not have been administered at six-hour intervals. However, Tan Haiyu insists on strictly following the instructions to minimize the risk of patients developing drug resistance. “Treat it as it should be treated; follow the prescribed plan.”??",NA
5,20250518,Antibiotic resistance issues may soon be resolved,consequence emphasizing,positive,medicine,no,CCTV.com,discovery,yes,a photo of a researcher,"This breakthrough holds promise for advancing novel drug development and addressing antibiotic resistance. While antibiotics reduce mortality from infectious diseases, their misuse fosters bacterial resistance. Antibiotics possess broad-spectrum bactericidal capabilities but also indiscriminately affect all bacteria within the host, including beneficial microbial communities.",NA
6,20250419,"Fever, sore throat, and rash in children. What exactly is the “little red man” disease?",questioning,neutral,children,no,CCTV.com,alert,yes,a cartoon showing the symptoms of a kind of illness,"Certain symptoms of scarlet fever resemble those of influenza, making misdiagnosis common. If a child exhibits fever, sore throat, or rash, never self-administer antibiotics or fever-reducing medications. Seek prompt medical attention for accurate diagnosis. During treatment, strictly adhere to medical instructions and never discontinue medication without authorization to prevent bacterial resistance that could compromise therapeutic efficacy.",risk
7,20250321,Protecting respiratory health: Experts urge attention to the value of pneumococcal vaccines,appeal to authority,negative,profession,no,CCTV.com,advice,no,NA,"Antibiotics form the mainstay of clinical treatment for pneumococcal diseases. However, due to their widespread use, antibiotic resistance in pneumococci is becoming increasingly severe. “Data from some regions show that resistance rates to macrolide antibiotics like erythromycin are approaching 100%!” lamented Professor Jiang Rongmeng.",risk
8,20250318,Can expired cosmetics still be used? Will they cause skin damage?,questioning,neutral,medicine,no,CCTV.com,advice,yes,an AI generated man watching his face,"In unfortunate cases, resistant bacteria may emerge, such as certain strains of E. coli and Pseudomonas. This means that if expired cosmetics genuinely cause an infection, conventional antibiotic treatments may prove ineffective, significantly increasing treatment difficulty and infection risks.",risk
9,20250301,Should children infected with Helicobacter pylori be treated for eradication?,questioning,neutral,children,no,CCTV.com,advice,yes,a cartoon question mark,"Moreover, treating Helicobacter pylori infection in children presents additional challenges: limited antibiotic options, significant antibiotic-related side effects, and high recurrence rates. Poor medication adherence among children further increases treatment failure, potentially leading to secondary drug-resistant infections. These factors collectively make eradicating H. pylori in children particularly difficult.??",battle
10,20250228,Should children infected with Helicobacter pylori be treated for eradication?,questioning,neutral,children,no,CCTV.com,advice,yes,a cartoon question mark,"Moreover, treating H. pylori infection in children presents challenges due to limited antibiotic options, significant antibiotic-related side effects, and high recurrence rates. Additionally, poor medication adherence among children often leads to treatment failure and secondary drug-resistant infections. These factors collectively contribute to the difficulty of achieving complete eradication of H. pylori infection in pediatric patients.??",battle
11,20250206,Don't let the flu cause accidents! Remember these four key points.,advice,negative,group of people,no,CCTV.com,advice,yes,Six cartoon characters with illness symptoms,"Wang Liping, a researcher at the Chinese Center for Disease Control and Prevention's Division of Infectious Diseases, explained that resistance analysis indicates currently circulating influenza viruses remain sensitive to antiviral medications, making drug treatment effective. Li Tongzeng emphasized that influenza is not a bacterial infection and antibiotics are ineffective against it.",risk
12,20241207,Can taking cold medicine prevent colds? It depends on the situation.,NA,neutral,medicine,no,CCTV.com,advice,yes,a bootle of pills,"Furthermore, indiscriminate antibiotic use may cause adverse reactions and potentially foster drug resistance. Cold Remedy Granules Taking cold remedy granules in advance generally does not effectively prevent colds. This is because such granules are primarily designed to alleviate cold symptoms rather than prevent the onset of colds.??",risk
